date,time,temp_c,dewpoint_c,rh_pct,wind_dir_txt,wind_kmh,gust_kmh,press_hpa,rain_acc_mm,rain_rate_mmph,uv,solar_wm2,key,value
2021-02-13,00:00,10.2,8.9,93,SE,12.9,17.7,1014.39,0,0,0,0,,
2021-02-13,00:15,10.4,8.9,92,ESE,9.7,16.1,1014.26,0,0,0,0,,
2021-02-13,00:30,10.6,8.9,90,ESE,17.7,17.7,1014.16,0,0,0,0,,
2021-02-13,00:45,10.6,8.9,90,SE,8,20.9,1013.65,0,0,0,0,,
2021-02-13,01:00,10.6,8.9,90,ESE,11.3,20.9,1013.61,0.25,0.25,0,0,,
2021-02-13,01:15,10.4,8.9,91,SE,16.1,25.7,1012.97,0.51,0.51,0,0,,
2021-02-13,01:30,10.3,8.9,92,ESE,14.5,24.1,1012.6,1.02,1.02,0,0,,
2021-02-13,01:45,10.3,8.9,92,ESE,6.4,20.9,1012.8,1.27,1.27,0,0,,
2021-02-13,02:00,10.2,8.9,92,E,17.7,22.5,1012.36,1.52,1.27,0,0,,
2021-02-13,02:15,10.3,8.9,93,SSE,6.4,14.5,1012.46,2.03,1.52,0,0,,
2021-02-13,02:30,10.3,8.9,94,ESE,12.9,19.3,1012.26,2.03,1.02,0,0,,
2021-02-13,02:45,10.4,9.4,94,ESE,12.9,14.5,1011.79,2.03,0.76,0,0,,
2021-02-13,03:00,10.7,9.4,94,SE,11.3,14.5,1011.82,2.03,0.51,0,0,,
2021-02-13,03:15,10.7,9.4,93,SW,4.8,27.4,1012.09,4.57,2.54,0,0,,
2021-02-13,03:30,11,10,93,WNW,6.4,16.1,1012.02,4.57,2.54,0,0,,
2021-02-13,03:45,10.6,9.4,94,WNW,1.6,14.5,1011.95,4.57,2.54,0,0,,
2021-02-13,04:00,10.8,9.4,94,W,11.3,20.9,1011.85,4.57,2.54,0,0,,
2021-02-13,04:15,10.9,9.4,93,WNW,12.9,24.1,1011.68,4.57,0,0,0,,
2021-02-13,04:30,10.8,9.4,93,W,9.7,17.7,1011.65,4.57,0,0,0,,
2021-02-13,04:45,10.8,9.4,93,W,14.5,19.3,1011.68,4.57,0,0,0,,
2021-02-13,05:00,10.7,9.4,94,WNW,12.9,19.3,1011.65,4.57,0,0,0,,
2021-02-13,05:15,10.6,9.4,94,WNW,9.7,20.9,1011.41,4.57,0,0,0,,
2021-02-13,05:30,10.5,9.4,94,W,3.2,25.7,1011.48,4.57,0,0,0,,
2021-02-13,05:45,10.5,9.4,95,W,14.5,19.3,1011.14,6.1,1.52,0,0,,
2021-02-13,06:00,10.6,9.4,95,W,6.4,17.7,1011.28,6.1,1.52,0,0,,
2021-02-13,06:15,10.3,9.4,95,WNW,6.4,14.5,1011.11,6.1,1.52,0,0,,
2021-02-13,06:30,10.2,9.4,95,W,14.5,12.9,1011.45,6.1,1.52,0,0,,
2021-02-13,06:45,10.2,9.4,95,WNW,19.3,29,1011.28,6.1,0,0,0,,
2021-02-13,07:00,10.4,9.4,95,WNW,17.7,25.7,1011.45,6.1,0,0,0,,
2021-02-13,07:15,10.6,9.4,95,W,17.7,27.4,1011.48,6.1,0,0,0,,
2021-02-13,07:30,10.6,9.4,95,WNW,11.3,24.1,1011.45,6.1,0,0,12,,
2021-02-13,07:45,10.4,9.4,95,W,9.7,19.3,1011.65,6.1,0,0,9,,
2021-02-13,08:00,10.3,9.4,95,WNW,9.7,14.5,1011.82,6.1,0,0,54,,
2021-02-13,08:15,10.4,9.4,95,WNW,8,14.5,1012.23,6.1,0,0,134,,
2021-02-13,08:30,10.2,9.4,95,W,4.8,14.5,1012.39,6.1,0,0,23,,
2021-02-13,08:45,10.2,9.4,95,WNW,4.8,16.1,1012.9,6.1,0,0,0,,
2021-02-13,09:00,10.1,9.4,95,W,17.7,19.3,1013.04,6.35,0.25,0,33,,
2021-02-13,09:15,10.2,9.4,95,WNW,14.5,16.1,1013.17,6.6,0.51,0,26,,
2021-02-13,09:30,9.9,8.9,95,NNW,4.8,17.7,1013.24,6.6,0.51,0,118,,
2021-02-13,09:45,10.1,8.9,95,NW,9.7,20.9,1013.75,6.86,0.51,1,174,,
2021-02-13,10:00,10.4,9.4,94,WNW,12.9,20.9,1013.82,6.86,0.51,1,434,,
2021-02-13,10:15,10.8,8.9,89,WNW,19.3,25.7,1014.19,6.86,0.25,2,538,,
2021-02-13,10:30,11,8.9,87,NW,19.3,30.6,1014.39,6.86,0.25,2,501,,
2021-02-13,10:45,11.1,7.8,82,NW,17.7,32.2,1015.07,6.86,0,2,392,,
2021-02-13,11:00,11.6,8.3,82,WNW,14.5,30.6,1015.34,6.86,0,2,679,,
2021-02-13,11:15,11.8,8.3,79,W,19.3,30.6,1015.61,6.86,0,2,339,,
2021-02-13,11:30,11.5,7.8,79,W,24.1,40.2,1015.85,6.86,0,1,246,,
2021-02-13,11:45,11.1,7.2,78,WNW,20.9,32.2,1016.29,6.86,0,1,139,,
2021-02-13,12:00,10.8,6.7,78,W,24.1,40.2,1016.46,6.86,0,1,121,,
2021-02-13,12:15,10.4,6.7,78,WNW,25.7,45.1,1016.7,6.86,0,1,172,,
2021-02-13,12:30,10.2,6.7,79,W,33.8,41.8,1016.86,6.86,0,2,279,,
2021-02-13,12:45,10.3,6.7,80,WNW,24.1,40.2,1016.7,6.86,0,2,362,,
2021-02-13,13:00,10.3,7.2,81,NW,17.7,38.6,1016.7,6.86,0,3,399,,
2021-02-13,13:15,10.7,6.7,77,NW,27.4,43.5,1016.86,6.86,0,3,721,,
2021-02-13,13:30,10.6,6.7,77,NW,38.6,43.5,1016.8,6.86,0,3,656,,
2021-02-13,13:45,10.3,6.1,76,NW,33.8,41.8,1017,6.86,0,3,636,,
2021-02-13,14:00,10.2,6.1,77,NNW,19.3,38.6,1017.14,6.86,0,3,601,,
2021-02-13,14:15,10.3,5.6,75,WNW,32.2,40.2,1017.54,6.86,0,2,302,,
2021-02-13,14:30,10,6.1,76,NW,25.7,35.4,1017.51,6.86,0,1,267,,
2021-02-13,14:45,10.1,5.6,75,NW,20.9,32.2,1017.68,6.86,0,2,253,,
2021-02-13,15:00,10,5,73,NNW,17.7,33.8,1017.95,6.86,0,2,482,,
2021-02-13,15:15,10.2,5,72,WNW,22.5,32.2,1017.85,6.86,0,2,450,,
2021-02-13,15:30,10.3,5.6,72,NW,12.9,33.8,1018.19,6.86,0,1,446,,
2021-02-13,15:45,10.4,5,71,NW,14.5,29,1018.49,6.86,0,1,487,,
2021-02-13,16:00,10.7,5,68,NNW,16.1,27.4,1018.52,6.86,0,1,401,,
2021-02-13,16:15,10.2,4.4,70,,12.9,25.7,1018.63,6.86,0,0,60,,
2021-02-13,16:30,9.7,4.4,70,NNW,19.3,30.6,1018.96,6.86,0,0,77,,
2021-02-13,16:45,9.3,3.9,71,NW,14.5,27.4,1019.24,6.86,0,0,33,,
2021-02-13,17:00,9.3,4.4,72,NW,12.9,27.4,1019.2,6.86,0,0,84,,
2021-02-13,17:15,9.2,3.9,72,NW,14.5,24.1,1019.44,6.86,0,0,51,,
2021-02-13,17:30,8.9,3.9,72,WNW,14.5,29,1019.81,6.86,0,0,28,,
2021-02-13,17:45,8.6,3.9,72,NW,8,24.1,1019.81,6.86,0,0,16,,
2021-02-13,18:00,8.3,3.9,74,WNW,11.3,24.1,1020.25,6.86,0,0,0,,
2021-02-13,18:15,8.1,3.3,74,WNW,16.1,19.3,1020.52,6.86,0,0,0,,
2021-02-13,18:30,8.1,3.3,73,NW,6.4,25.7,1020.86,6.86,0,0,0,,
2021-02-13,18:45,7.8,3.3,74,NW,8,17.7,1020.89,6.86,0,0,0,,
2021-02-13,19:00,7.6,3.3,74,NW,20.9,27.4,1021.23,6.86,0,0,0,,
2021-02-13,19:15,7.5,3.3,75,WNW,16.1,20.9,1021.54,6.86,0,0,0,,
2021-02-13,19:30,7.3,3.3,76,NW,16.1,22.5,1021.74,6.86,0,0,0,,
2021-02-13,19:45,7.2,2.8,75,NW,12.9,17.7,1022.05,6.86,0,0,0,,
2021-02-13,20:00,7.3,2.8,73,NW,6.4,19.3,1022.18,6.86,0,0,0,,
2021-02-13,20:15,7.1,2.8,74,NW,17.7,20.9,1022.52,6.86,0,0,0,,
2021-02-13,20:30,6.8,2.2,75,NW,16.1,22.5,1022.59,6.86,0,0,0,,
2021-02-13,20:45,6.7,2.2,75,NNW,12.9,24.1,1022.82,6.86,0,0,0,,
2021-02-13,21:00,6.6,2.2,74,NW,9.7,20.9,1022.59,6.86,0,0,0,,
2021-02-13,21:15,6.6,2.2,75,WNW,11.3,24.1,1023.06,6.86,0,0,0,,
2021-02-13,21:30,6.4,2.2,76,NW,8,22.5,1023.27,6.86,0,0,0,,
2021-02-13,21:45,6.3,2.2,76,NNW,12.9,20.9,1023.33,6.86,0,0,0,,
2021-02-13,22:00,6.2,2.2,77,NW,19.3,22.5,1023.57,6.86,0,0,0,,
2021-02-13,22:15,6.2,2.2,75,WNW,11.3,24.1,1023.57,6.86,0,0,0,,
2021-02-13,22:30,6.2,2.2,76,NW,8,20.9,1023.98,6.86,0,0,0,,
2021-02-13,22:45,5.9,2.2,77,NW,4.8,17.7,1024.08,6.86,0,0,0,,
2021-02-13,23:00,5.9,2.2,77,NW,11.3,19.3,1024.01,6.86,0,0,0,,
2021-02-13,23:15,5.8,1.7,76,NW,17.7,20.9,1024.28,6.86,0,0,0,,
2021-02-13,23:30,5.8,1.7,76,NW,8,20.9,1024.31,6.86,0,0,0,,
2021-02-13,23:45,5.6,1.7,77,NW,11.3,22.5,1024.25,6.86,0,0,0,,
2021-02-13,OVR,,,,,,,,,,,,gustmax,49.9
2021-02-13,OVR,,,,,,,,,,,,rainrate_max,79.4
2021-02-13,OVR,,,,,,,,,,,,rain_total_mm,6.8
2021-02-13,OVR,,,,,,,,,,,,tmax,12
2021-02-13,OVR,,,,,,,,,,,,tmin,5.4
2021-02-13,OVR,,,,,,,,,,,,wind_dir_mean_deg,59
2021-02-14,00:00,5.4,1.7,77,WNW,11.3,25.7,1024.28,0,0,0,0,,
2021-02-14,00:15,5.4,1.7,77,NW,17.7,27.4,1024.52,0,0,0,0,,
2021-02-14,00:30,5.3,1.7,77,WNW,12.9,25.7,1024.28,0,0,0,0,,
2021-02-14,00:45,5.2,1.7,78,WNW,19.3,24.1,1024.52,0,0,0,0,,
2021-02-14,01:00,4.9,1.1,78,N,9.7,22.5,1024.42,0,0,0,0,,
2021-02-14,01:15,4.6,1.1,80,NE,6.4,12.9,1024.31,0,0,0,0,,
2021-02-14,01:30,4.3,1.1,80,WNW,16.1,16.1,1024.55,0,0,0,0,,
2021-02-14,01:45,4.2,0.6,79,NW,9.7,16.1,1024.82,0,0,0,0,,
2021-02-14,02:00,4.1,0.6,79,NW,9.7,19.3,1025.13,0,0,0,0,,
2021-02-14,02:15,4,0.6,78,NW,9.7,16.1,1025.3,0,0,0,0,,
2021-02-14,02:30,3.8,0,78,NNW,16.1,16.1,1025.33,0,0,0,0,,
2021-02-14,02:45,3.8,0,78,NNW,9.7,20.9,1025.6,0,0,0,0,,
2021-02-14,03:00,3.7,0,78,NW,1.6,20.9,1025.43,0,0,0,0,,
2021-02-14,03:15,3.8,0,77,ENE,1.6,16.1,1025.5,0,0,0,0,,
2021-02-14,03:30,3.7,0,77,ENE,3.2,6.4,1025.47,0,0,0,0,,
2021-02-14,03:45,3.8,0,78,NW,8,11.3,1025.6,0,0,0,0,,
2021-02-14,04:00,3.7,-0.6,76,NW,4.8,12.9,1025.7,0,0,0,0,,
2021-02-14,04:15,3.7,-0.6,74,WNW,12.9,14.5,1025.97,0,0,0,0,,
2021-02-14,04:30,3.6,-1.1,74,WNW,11.3,20.9,1025.74,0,0,0,0,,
2021-02-14,04:45,3.3,-1.1,73,NNW,12.9,17.7,1026.04,0,0,0,0,,
2021-02-14,05:00,2.9,-1.7,73,NW,6.4,14.5,1026.21,0,0,0,0,,
