date,time,temp_c,dewpoint_c,rh_pct,wind_dir_txt,wind_kmh,gust_kmh,press_hpa,rain_acc_mm,rain_rate_mmph,uv,solar_wm2,key,value
2022-12-01,00:00,9.4,5.6,77,SE,8,11.3,1014.97,0,0,0,0,,
2022-12-01,00:15,8.6,4.4,77,EAST,3.2,4.8,1014.56,0,0,0,0,,
2022-12-01,00:30,7.9,4.4,79,EAST,3.2,4.8,1014.66,0,0,0,0,,
2022-12-01,00:45,7.6,3.9,79,EAST,1.6,4.8,1014.56,0,0,0,0,,
2022-12-01,01:00,7.8,4.4,80,ESE,3.2,6.4,1014.33,0,0,0,0,,
2022-12-01,01:15,7.7,4.4,80,ESE,4.8,6.4,1014.29,0,0,0,0,,
2022-12-01,01:30,8.5,5,79,SE,6.4,11.3,1014.36,0,0,0,0,,
2022-12-01,01:45,8,4.4,78,SE,4.8,11.3,1014.26,0,0,0,0,,
2022-12-01,02:00,7.7,4.4,80,ESE,3.2,6.4,1014.05,0,0,0,0,,
2022-12-01,02:15,7.9,4.4,80,ESE,4.8,6.4,1013.99,0,0,0,0,,
2022-12-01,03:15,8.6,5,79,ESE,3.2,6.4,1013.92,0,0,0,0,,
2022-12-01,03:30,8.4,5,81,ESE,3.2,6.4,1013.82,0,0,0,0,,
2022-12-01,03:45,8.2,5,82,NORTH,0,4.8,1013.85,0,0,0,0,,
2022-12-01,04:15,8.7,6.1,85,ESE,3.2,3.2,1013.65,0,0,0,0,,
2022-12-01,04:30,8.8,6.1,86,ESE,3.2,4.8,1013.68,0,0,0,0,,
2022-12-01,04:45,8.4,5.6,84,EAST,3.2,9.7,1013.72,0,0,0,0,,
2022-12-01,05:00,7.8,5,82,ESE,9.7,9.7,1013.92,0,0,0,0,,
2022-12-01,05:15,7.8,4.4,81,EAST,6.4,12.9,1013.88,0,0,0,0,,
2022-12-01,05:30,7.9,4.4,81,EAST,6.4,9.7,1013.95,0,0,0,0,,
2022-12-01,05:45,8.3,5,80,ESE,3.2,11.3,1013.82,0,0,0,0,,
2022-12-01,06:00,8.3,5,82,ESE,1.6,4.8,1013.92,0,0,0,0,,
2022-12-01,06:15,8.2,5.6,83,ESE,1.6,6.4,1013.82,0,0,0,0,,
2022-12-01,06:30,7.9,5,84,EAST,4.8,6.4,1013.88,0,0,0,0,,
2022-12-01,06:45,7.7,4.4,81,EAST,6.4,9.7,1013.92,0,0,0,0,,
2022-12-01,07:00,7.7,4.4,80,ESE,4.8,11.3,1013.92,0,0,0,0,,
2022-12-01,07:15,7.9,4.4,79,EAST,6.4,12.9,1014.16,0,0,0,0,,
2022-12-01,07:30,7.6,3.9,80,ESE,9.7,11.3,1014.12,0,0,0,7,,
2022-12-01,07:45,7.8,4.4,80,ESE,11.3,12.9,1014.09,0,0,0,19,,
2022-12-01,08:00,8.3,4.4,79,EAST,6.4,11.3,1014.12,0,0,0,28,,
2022-12-01,08:15,8.3,4.4,79,EAST,12.9,9.7,1014.29,0,0,0,19,,
2022-12-01,08:30,8.6,5,78,ESE,9.7,12.9,1014.63,0,0,0,121,,
2022-12-01,08:45,8.9,5,78,ESE,4.8,11.3,1014.73,0,0,0,148,,
2022-12-01,09:00,9.1,5,78,ESE,6.4,12.9,1014.8,0,0,0,70,,
2022-12-01,09:15,9.4,5.6,79,ESE,4.8,9.7,1014.97,0,0,0,76,,
2022-12-01,09:30,10,6.1,77,ESE,4.8,9.7,1015.04,0,0,0,84,,
2022-12-01,09:45,10.4,6.1,75,ESE,1.6,9.7,1015.14,0,0,1,167,,
2022-12-01,10:00,10.5,6.7,77,EAST,4.8,6.4,1015.34,0,0,1,381,,
2022-12-01,10:15,11.3,7.2,76,EAST,6.4,9.7,1015.34,0,0,1,468,,
2022-12-01,10:30,11.8,7.2,74,EAST,6.4,11.3,1015.24,0,0,1,522,,
2022-12-01,10:45,12.1,7.2,74,ESE,6.4,14.5,1015.24,0,0,1,396,,
