date,time,temp_c,dewpoint_c,rh_pct,wind_dir_txt,wind_kmh,gust_kmh,press_hpa,rain_acc_mm,rain_rate_mmph,uv,solar_wm2,key,value
2022-03-01,00:00,4.4,1.1,80,NORTH,0,3.2,1024.08,0,0,0,0,,
2022-03-01,00:15,3.9,0.6,81,NE,1.6,1.6,1023.84,0,0,0,0,,
2022-03-01,00:30,4.2,1.1,83,NE,1.6,4.8,1023.87,0,0,0,0,,
2022-03-01,00:45,4.3,1.1,82,NE,1.6,3.2,1023.77,0,0,0,0,,
2022-03-01,01:00,4.1,1.1,83,NE,1.6,3.2,1023.98,0,0,0,0,,
2022-03-01,01:15,4.8,1.7,81,NE,1.6,4.8,1024.04,0,0,0,0,,
2022-03-01,01:30,4.3,1.1,80,NORTH,0,3.2,1024.31,0,0,0,0,,
2022-03-01,01:45,3.9,1.1,82,NE,1.6,3.2,1024.25,0,0,0,0,,
2022-03-01,02:00,4.2,1.1,81,NORTH,0,3.2,1024.38,0,0,0,0,,
2022-03-01,02:15,4.2,0.6,79,NE,1.6,1.6,1024.42,0,0,0,0,,
2022-03-01,02:30,3.9,0.6,78,NORTH,0,1.6,1024.42,0,0,0,0,,
2022-03-01,02:45,3.4,0,79,NE,1.6,3.2,1024.28,0,0,0,0,,
2022-03-01,03:00,3.8,0,77,NE,1.6,3.2,1024.04,0,0,0,0,,
2022-03-01,03:15,4.3,0,73,NE,3.2,3.2,1024.01,0,0,0,0,,
2022-03-01,03:30,4.4,-0.6,72,NE,1.6,1.6,1024.01,0,0,0,0,,
2022-03-01,03:45,4.2,-0.6,72,NORTH,0,1.6,1023.94,0,0,0,0,,
2022-03-01,04:00,4.1,-0.6,73,NORTH,0,1.6,1024.08,0,0,0,0,,
2022-03-01,04:15,4.7,0,72,NORTH,0,6.4,1024.15,0,0,0,0,,
2022-03-01,04:30,4.8,0,72,NW,4.8,6.4,1024.01,0,0,0,0,,
2022-03-01,04:45,3.6,-0.6,74,NW,4.8,9.7,1024.18,0,0,0,0,,
2022-03-01,05:00,3.6,0,78,NW,3.2,6.4,1024.08,0,0,0,0,,
2022-03-01,05:15,3.8,0,77,NW,1.6,4.8,1024.21,0,0,0,0,,
2022-03-01,05:30,3.9,-0.6,75,NORTH,0,3.2,1024.15,0,0,0,0,,
2022-03-01,05:45,3.9,0,76,NW,1.6,3.2,1024.18,0,0,0,0,,
2022-03-01,06:00,3.6,-0.6,75,NW,1.6,4.8,1024.28,0,0,0,0,,
2022-03-01,06:15,3.6,-0.6,76,NNW,3.2,6.4,1024.35,0,0,0,0,,
2022-03-01,06:30,4,0,75,NNW,8,9.7,1024.52,0,0,0,0,,
2022-03-01,06:45,4.4,0,75,NNW,8,11.3,1024.55,0,0,0,0,,
2022-03-01,07:00,4.5,0,74,NNW,4.8,12.9,1024.59,0,0,0,0,,
2022-03-01,07:15,4.9,0.6,75,,3.2,12.9,1024.62,0,0,0,14,,
2022-03-01,07:30,5.3,0.6,74,NNW,4.8,12.9,1024.62,0,0,0,46,,
2022-03-01,07:45,5.5,0.6,72,NNW,4.8,9.7,1024.65,0,0,0,88,,
2022-03-01,08:00,5.9,1.1,72,NNW,1.6,8,1024.92,0,0,0,149,,
2022-03-01,08:15,6.2,1.1,72,NNW,3.2,6.4,1025.09,0,0,0,211,,
2022-03-01,08:30,6.7,1.7,71,NW,6.4,8,1025.23,0,0,0,262,,
2022-03-01,08:45,6.6,1.7,72,NW,6.4,4.8,1025.3,0,0,1,313,,
2022-03-01,09:00,7.2,2.2,71,NW,6.4,11.3,1025.4,0,0,1,364,,
2022-03-01,09:15,7.8,2.2,69,NW,6.4,17.7,1025.53,0,0,1,482,,
2022-03-01,09:30,8.5,2.8,67,NNW,8,20.9,1025.57,0,0,1,613,,
2022-03-01,09:45,8.4,2.8,68,WNW,12.9,19.3,1025.53,0,0,1,207,,
2022-03-01,10:00,8.4,2.8,67,WNW,8,14.5,1025.57,0,0,1,290,,
2022-03-01,10:15,8.4,2.8,68,WEST,9.7,14.5,1025.7,0,0,1,287,,
2022-03-01,10:30,8.6,2.8,67,WEST,4.8,14.5,1025.87,0,0,2,322,,
2022-03-01,10:45,9.2,3.3,68,WNW,8,16.1,1025.77,0,0,3,821,,
2022-03-01,11:00,9.2,2.8,64,WNW,6.4,14.5,1025.87,0,0,2,290,,
2022-03-01,11:15,9.3,2.8,64,NW,6.4,12.9,1025.84,0,0,2,376,,
2022-03-01,11:30,9.6,2.8,64,,1.6,6.4,1026.14,0,0,2,345,,
2022-03-01,11:45,10.2,3.3,63,NNW,1.6,8,1025.91,0,0,3,717,,
2022-03-01,12:00,10.8,3.3,60,SSW,1.6,16.1,1025.57,0,0,3,826,,
2022-03-01,12:15,10.8,2.8,57,NW,3.2,14.5,1025.36,0,0,3,849,,
2022-03-01,12:30,11.3,2.2,54,,12.9,25.7,1025.36,0,0,3,793,,
2022-03-01,12:45,11.4,1.7,52,WEST,16.1,20.9,1025.16,0,0,3,803,,
2022-03-01,13:00,11.3,1.7,52,NNW,9.7,32.2,1025.09,0,0,3,791,,
2022-03-01,13:15,11.3,1.1,51,WNW,16.1,30.6,1024.99,0,0,3,789,,
2022-03-01,13:30,11.4,1.1,49,NW,22.5,29,1024.76,0,0,3,712,,
2022-03-01,13:45,11.3,0.6,48,WNW,20.9,33.8,1024.79,0,0,3,687,,
2022-03-01,14:00,11.6,0.6,47,WNW,16.1,30.6,1024.69,0,0,3,657,,
2022-03-01,14:15,11.3,0.6,48,NW,14.5,35.4,1024.62,0,0,3,647,,
