date,time,temp_c,dewpoint_c,rh_pct,wind_dir_txt,wind_kmh,gust_kmh,press_hpa,rain_acc_mm,rain_rate_mmph,uv,solar_wm2,key,value
2022-11-01,00:00,15.3,12.8,85,ESE,9.7,14.5,1023.98,0,0,0,0,,
2022-11-01,00:15,15,12.2,85,ESE,9.7,12.9,1023.91,0,0,0,0,,
2022-11-01,00:30,15.1,12.2,85,ESE,9.7,14.5,1023.77,0,0,0,0,,
2022-11-01,00:45,15,12.2,84,EAST,6.4,11.3,1023.91,0,0,0,0,,
2022-11-01,01:00,14.4,12.2,86,ESE,6.4,9.7,1023.91,0,0,0,0,,
2022-11-01,01:15,14.3,12.2,88,ESE,6.4,16.1,1023.54,0,0,0,0,,
2022-11-01,01:30,14.6,12.2,87,ESE,11.3,12.9,1023.67,0,0,0,0,,
2022-11-01,01:45,14.6,12.2,85,ESE,9.7,12.9,1023.6,0,0,0,0,,
2022-11-01,02:00,14.8,12.2,84,EAST,6.4,12.9,1023.71,0,0,0,0,,
2022-11-01,02:15,15.1,12.2,83,ESE,11.3,17.7,1023.33,0,0,0,0,,
2022-11-01,02:30,15.3,12.2,82,EAST,4.8,11.3,1023.6,0,0,0,0,,
2022-11-01,02:45,15.3,11.7,81,ESE,9.7,12.9,1023.47,0,0,0,0,,
2022-11-01,03:00,15.3,11.7,80,ESE,6.4,14.5,1023.37,0,0,0,0,,
2022-11-01,03:15,15.4,11.7,80,ESE,8,11.3,1023.27,0,0,0,0,,
2022-11-01,03:30,15,11.7,83,ESE,9.7,11.3,1023.23,0,0,0,0,,
2022-11-01,03:45,14.9,12.2,84,EAST,4.8,11.3,1023.3,0,0,0,0,,
2022-11-01,04:00,14.9,12.2,84,EAST,9.7,14.5,1023.33,0,0,0,0,,
2022-11-01,04:15,15.1,12.2,85,ESE,16.1,14.5,1023.06,0,0,0,0,,
2022-11-01,04:30,15.1,12.2,85,ESE,9.7,12.9,1023.13,0,0,0,0,,
2022-11-01,04:45,14.9,12.2,85,ESE,4.8,12.9,1023.2,0,0,0,0,,
2022-11-01,05:00,15.1,12.2,85,ESE,9.7,12.9,1023.16,0,0,0,0,,
2022-11-01,05:15,15.1,12.2,85,ESE,12.9,14.5,1023.2,0,0,0,0,,
2022-11-01,05:30,15.2,12.2,84,ESE,9.7,16.1,1023.2,0,0,0,0,,
2022-11-01,05:45,15.1,12.2,84,ESE,11.3,12.9,1023.43,0,0,0,0,,
2022-11-01,06:00,14.9,12.2,84,ESE,6.4,12.9,1023.43,0,0,0,0,,
2022-11-01,06:15,15,12.2,83,ESE,6.4,16.1,1023.33,0,0,0,0,,
2022-11-01,06:30,14.4,11.7,85,ESE,11.3,12.9,1023.57,0,0,0,0,,
2022-11-01,06:45,14.2,11.7,85,ESE,8,11.3,1023.71,0,0,0,0,,
2022-11-01,07:00,13.6,11.1,87,ESE,8,11.3,1023.5,0,0,0,9,,
2022-11-01,07:15,13.8,11.7,88,ESE,6.4,11.3,1023.57,0,0,0,19,,
2022-11-01,07:30,13.8,11.7,88,ESE,6.4,9.7,1023.94,0,0,0,30,,
2022-11-01,07:45,14.4,12.2,87,ESE,9.7,11.3,1024.18,0,0,0,104,,
2022-11-01,08:00,14.7,12.2,86,ESE,6.4,9.7,1024.35,0,0,0,151,,
2022-11-01,08:15,15.6,12.8,85,EAST,4.8,11.3,1024.62,0,0,0,197,,
2022-11-01,08:30,15.9,12.8,84,EAST,4.8,6.4,1024.82,0,0,0,248,,
2022-11-01,08:45,16.5,13.3,82,EAST,3.2,9.7,1024.76,0,0,1,290,,
2022-11-01,09:00,17,13.3,81,EAST,4.8,8,1024.79,0,0,1,323,,
2022-11-01,09:15,17.3,13.9,80,ENE,4.8,11.3,1024.89,0,0,1,367,,
2022-11-01,09:30,17.5,13.3,79,EAST,1.6,12.9,1024.99,0,0,1,199,,
2022-11-01,09:45,18.2,14.4,78,ESE,3.2,11.3,1024.96,0,0,1,439,,
2022-11-01,10:00,18.6,14.4,77,EAST,4.8,12.9,1025.06,0,0,2,469,,
2022-11-01,10:15,18.6,14.4,78,ESE,12.9,22.5,1024.89,0,0,2,501,,
2022-11-01,10:30,19.1,14.4,76,SE,9.7,17.7,1024.99,0,0,2,527,,
2022-11-01,10:45,19.1,14.4,75,ESE,6.4,19.3,1024.79,0,0,2,445,,
2022-11-01,11:00,19.4,14.4,75,ESE,8,20.9,1024.52,0,0,2,432,,
2022-11-01,11:15,19.8,14.4,73,SE,11.3,22.5,1024.35,0,0,2,461,,
2022-11-01,11:30,20.2,14.4,71,EAST,11.3,19.3,1024.04,0,0,2,496,,
2022-11-01,11:45,20.7,15,70,ESE,12.9,17.7,1024.25,0,0,3,538,,
2022-11-01,12:00,20.8,15,69,ESE,11.3,16.1,1024.28,0,0,2,496,,
2022-11-01,12:15,21.4,15,66,SE,9.7,22.5,1023.91,0,0,3,527,,
2022-11-01,12:30,21.7,13.9,62,SE,16.1,20.9,1023.91,0,0,3,610,,
2022-11-01,12:45,22.1,14.4,63,SE,11.3,19.3,1023.94,0,0,3,612,,
2022-11-01,13:00,21.7,13.9,61,EAST,4.8,20.9,1024.01,0,0,2,325,,
2022-11-01,13:15,21.8,14.4,63,SE,14.5,12.9,1023.5,0,0,2,445,,
2022-11-01,13:30,21.9,14.4,64,ESE,3.2,17.7,1023.5,0,0,2,506,,
2022-11-01,13:45,21.8,14.4,63,SSE,8,19.3,1023.33,0,0,1,281,,
2022-11-01,14:00,22.1,14.4,63,SSE,4.8,11.3,1023.4,0,0,1,297,,
2022-11-01,14:15,22.4,13.3,56,EAST,1.6,14.5,1023.33,0,0,2,360,,
2022-11-01,14:30,22.4,13.3,56,SOUTH,11.3,14.5,1023.27,0,0,2,469,,
2022-11-01,14:45,22.6,12.8,54,SSE,3.2,12.9,1023.13,0,0,1,299,,
2022-11-01,15:00,22.8,12.2,52,SE,6.4,14.5,1023.16,0,0,1,288,,
2022-11-01,15:15,22.7,12.8,53,SSE,8,12.9,1023.27,0,0,1,339,,
2022-11-01,15:30,22.5,12.8,54,SW,8,12.9,1023.3,0,0,0,135,,
2022-11-01,15:45,20.5,13.3,64,WNW,11.3,22.5,1023.57,0,0,0,156,,
2022-11-01,16:00,20.3,13.3,66,NE,3.2,16.1,1023.37,0,0,0,167,,
2022-11-01,16:15,20.2,13.9,67,WNW,12.9,17.7,1023.74,0,0,0,102,,
2022-11-01,16:30,19.7,13.9,69,WNW,8,16.1,1023.81,0,0,0,58,,
2022-11-01,16:45,19.2,13.3,70,NORTH,0,12.9,1023.94,0,0,0,49,,
2022-11-01,17:00,18.8,13.3,72,WEST,9.7,16.1,1024.04,0,0,0,28,,
2022-11-01,17:15,18.5,13.3,73,NORTH,0,6.4,1024.15,0,0,0,7,,
2022-11-01,17:30,18.1,13.3,75,WNW,3.2,6.4,1024.38,0,0,0,0,,
2022-11-01,17:45,17.8,13.3,76,WNW,3.2,8,1024.52,0,0,0,0,,
2022-11-01,18:00,17.4,12.8,74,NORTH,0,6.4,1024.52,0,0,0,0,,
2022-11-01,18:15,16.8,11.7,74,NORTH,0,3.2,1024.65,0,0,0,0,,
2022-11-01,18:30,16.6,11.1,72,NORTH,0,0,1024.69,0,0,0,0,,
2022-11-01,18:45,16.4,11.1,72,WNW,3.2,4.8,1024.79,0,0,0,0,,
2022-11-01,19:00,16.3,10.6,70,WNW,1.6,4.8,1024.76,0,0,0,0,,
2022-11-01,19:15,15.8,10.6,73,SSE,3.2,9.7,1024.92,0,0,0,0,,
2022-11-01,19:30,16.3,11.1,72,SSE,3.2,9.7,1024.79,0,0,0,0,,
2022-11-01,19:45,16.7,10.6,69,SSE,8,9.7,1024.62,0,0,0,0,,
2022-11-01,20:00,16.5,10.6,69,SSE,6.4,9.7,1024.76,0,0,0,0,,
2022-11-01,20:15,16.4,11.1,71,SSE,4.8,6.4,1024.69,0,0,0,0,,
2022-11-01,20:30,16.5,12.2,77,SE,6.4,11.3,1024.55,0,0,0,0,,
2022-11-01,20:45,16.2,12.8,81,SE,8,11.3,1024.65,0,0,0,0,,
2022-11-01,21:00,16.7,12.2,77,SE,4.8,8,1024.79,0,0,0,0,,
2022-11-01,21:15,16.8,11.1,71,SE,4.8,8,1024.76,0,0,0,0,,
2022-11-01,21:30,17.3,12.8,76,ESE,6.4,11.3,1024.79,0,0,0,0,,
2022-11-01,21:45,16.9,13.3,80,ESE,4.8,6.4,1025.13,0,0,0,0,,
2022-11-01,22:00,15.8,12.8,82,ESE,1.6,4.8,1025.3,0,0,0,0,,
2022-11-01,22:15,15.9,13.3,85,NORTH,0,0,1025.26,0,0,0,0,,
2022-11-01,22:30,15.3,12.8,86,ESE,3.2,6.4,1025.09,0,0,0,0,,
2022-11-01,22:45,17.2,15,88,ESE,6.4,6.4,1025.09,0,0,0,0,,
2022-11-01,23:00,17.2,15,89,ESE,3.2,6.4,1025.03,0,0,0,0,,
2022-11-01,23:15,15.9,13.9,88,ESE,6.4,6.4,1025.03,0,0,0,0,,
2022-11-01,23:30,16.5,14.4,89,ESE,4.8,9.7,1024.99,0,0,0,0,,
2022-11-01,23:45,16.4,14.4,89,ESE,3.2,6.4,1025.13,0,0,0,0,,
2022-11-01,OVR,,,,,,,,,,,,gustmax,16.1
2022-11-01,OVR,,,,,,,,,,,,rainrate_max,0
2022-11-01,OVR,,,,,,,,,,,,rain_total_mm,0
2022-11-01,OVR,,,,,,,,,,,,tmax,22.9
2022-11-01,OVR,,,,,,,,,,,,tmin,13.6
2022-11-01,OVR,,,,,,,,,,,,wind_dir_mean_deg,112.5
2022-11-02,00:00,16.6,14.4,90,ESE,3.2,6.4,1024.92,0,0,0,0,,
2022-11-02,00:15,16.6,14.4,90,ESE,3.2,6.4,1024.89,0,0,0,0,,
2022-11-02,00:30,16.7,15,90,ESE,1.6,4.8,1024.82,0,0,0,0,,
2022-11-02,00:45,16.6,15,90,ESE,4.8,9.7,1024.82,0,0,0,0,,
2022-11-02,01:00,16.3,14.4,91,ESE,3.2,9.7,1024.69,0,0,0,0,,
2022-11-02,01:15,16.1,14.4,92,ESE,4.8,9.7,1024.65,0,0,0,0,,
2022-11-02,01:30,16.4,15,92,ESE,4.8,9.7,1024.59,0,0,0,0,,
2022-11-02,01:45,16.3,15,92,ESE,4.8,6.4,1024.69,0,0,0,0,,
2022-11-02,02:00,16.1,15,93,ESE,3.2,4.8,1024.62,0,0,0,0,,
2022-11-02,02:15,16,15,93,ESE,1.6,6.4,1024.31,0,0,0,0,,
2022-11-02,02:30,16.2,15,93,NORTH,0,3.2,1024.45,0,0,0,0,,
2022-11-02,02:45,16.3,15,94,ESE,3.2,4.8,1024.48,0,0,0,0,,
2022-11-02,03:00,16,15,94,ESE,1.6,4.8,1024.35,0,0,0,0,,
2022-11-02,03:15,15.9,15,94,ESE,3.2,4.8,1024.18,0,0,0,0,,
2022-11-02,03:30,15.6,14.4,94,ESE,1.6,4.8,1024.15,0,0,0,0,,
2022-11-02,03:45,15.5,14.4,93,ESE,1.6,4.8,1024.08,0,0,0,0,,
2022-11-02,04:00,15.3,14.4,94,ESE,3.2,4.8,1024.28,0,0,0,0,,
2022-11-02,04:15,15.4,14.4,94,ESE,3.2,4.8,1024.28,0,0,0,0,,
2022-11-02,04:30,15.1,13.9,94,ESE,4.8,4.8,1024.28,0,0,0,0,,
2022-11-02,04:45,14.9,13.9,94,NORTH,0,1.6,1024.42,0,0,0,0,,
2022-11-02,05:00,14.9,13.9,94,ESE,1.6,3.2,1024.35,0,0,0,0,,
2022-11-02,05:15,15.1,13.9,95,ESE,3.2,3.2,1024.25,0,0,0,0,,
2022-11-02,05:30,14.9,13.9,94,ESE,3.2,4.8,1024.28,0,0,0,0,,
2022-11-02,05:45,15.1,13.9,95,ESE,1.6,3.2,1024.28,0,0,0,0,,
2022-11-02,06:00,15.2,13.9,94,ESE,1.6,3.2,1024.25,0,0,0,0,,
2022-11-02,06:15,15.2,13.9,94,NORTH,0,3.2,1024.35,0,0,0,0,,
2022-11-02,06:30,14.7,13.9,94,ESE,3.2,4.8,1024.48,0,0,0,0,,
2022-11-02,06:45,14.7,13.9,95,NORTH,0,3.2,1024.28,0,0,0,0,,
2022-11-02,07:00,14.7,13.9,95,ESE,1.6,3.2,1024.62,0,0,0,0,,
2022-11-02,07:15,15.2,14.4,95,ESE,1.6,3.2,1024.52,0,0,0,12,,
2022-11-02,07:30,15.3,14.4,95,NORTH,0,3.2,1024.69,0,0,0,25,,
2022-11-02,07:45,15.1,13.9,95,NORTH,0,1.6,1024.96,0,0,0,81,,
2022-11-02,08:00,15.4,14.4,95,NORTH,0,1.6,1025.06,0,0,0,127,,
2022-11-02,08:15,15.8,15,95,NORTH,0,3.2,1025.16,0,0,0,167,,
2022-11-02,08:30,15.3,14.4,94,NORTH,0,3.2,1025.33,0,0,0,213,,
2022-11-02,08:45,15.7,14.4,93,NORTH,0,4.8,1025.4,0,0,1,276,,
2022-11-02,09:00,15.8,14.4,92,NORTH,0,6.4,1025.47,0,0,1,302,,
2022-11-02,09:15,17,15,89,NORTH,0,0,1025.23,0,0,1,352,,
2022-11-02,09:30,17.8,15,86,NORTH,0,1.6,1025.09,0,0,1,385,,
2022-11-02,09:45,18.2,14.4,79,WSW,1.6,4.8,1024.99,0,0,1,422,,
2022-11-02,10:00,18.9,13.9,73,NORTH,0,4.8,1024.89,0,0,2,450,,
2022-11-02,10:15,19.1,14.4,75,NORTH,0,4.8,1025.06,0,0,2,478,,
2022-11-02,10:30,19.6,13.3,69,NW,1.6,4.8,1025.09,0,0,2,501,,
2022-11-02,10:45,20.3,13.9,66,NW,6.4,8,1024.99,0,0,2,519,,
2022-11-02,11:00,20.3,13.9,66,SE,4.8,8,1024.89,0,0,2,536,,
2022-11-02,11:15,20.7,12.8,62,NORTH,0,4.8,1025.03,0,0,2,559,,
