date,time,temp_c,dewpoint_c,rh_pct,wind_dir_txt,wind_kmh,gust_kmh,press_hpa,rain_acc_mm,rain_rate_mmph,uv,solar_wm2,key,value
2025-05-01,00:00,15.3,10.6,75.0,SE,6.4,16.1,1020.93,0.0,0.0,0,0,,
2025-05-01,00:15,15.2,10.6,75.0,SE,8.0,14.5,1020.83,0.0,0.0,0,0,,
2025-05-01,00:30,14.9,10.6,75.0,ESE,1.6,14.5,1020.73,0.0,0.0,0,0,,
2025-05-01,00:45,14.8,10.6,76.0,NORTH,0.0,4.8,1020.89,0.0,0.0,0,0,,
2025-05-01,01:00,14.5,10.0,76.0,NORTH,0.0,3.2,1020.96,0.0,0.0,0,0,,
2025-05-01,01:15,14.2,10.0,77.0,NORTH,0.0,0.0,1020.79,0.0,0.0,0,0,,
2025-05-01,01:30,14.2,10.0,77.0,ESE,1.6,6.4,1020.79,0.0,0.0,0,0,,
2025-05-01,01:45,13.8,10.0,79.0,ESE,3.2,4.8,1020.56,0.0,0.0,0,0,,
2025-05-01,02:00,13.8,10.0,79.0,NORTH,0.0,4.8,1020.52,0.0,0.0,0,0,,
2025-05-01,02:15,13.6,10.0,79.0,NORTH,0.0,3.2,1020.45,0.0,0.0,0,0,,
2025-05-01,02:30,13.2,9.4,79.0,ESE,3.2,9.7,1020.18,0.0,0.0,0,0,,
2025-05-01,02:45,12.9,8.9,79.0,ESE,4.8,12.9,1020.08,0.0,0.0,0,0,,
2025-05-01,03:00,13.1,9.4,78.0,ESE,4.8,16.1,1019.91,0.0,0.0,0,0,,
2025-05-01,03:15,13.2,8.9,77.0,ESE,9.7,17.7,1019.81,0.0,0.0,0,0,,
2025-05-01,03:30,13.4,8.3,73.0,EAST,9.7,14.5,1019.68,0.0,0.0,0,0,,
2025-05-01,03:45,13.6,8.3,71.0,EAST,3.2,9.7,1019.78,0.0,0.0,0,0,,
2025-05-01,04:00,13.4,8.3,71.0,EAST,6.4,11.3,1019.51,0.0,0.0,0,0,,
2025-05-01,04:15,14.0,8.3,68.0,EAST,9.7,17.7,1019.34,0.0,0.0,0,0,,
2025-05-01,04:30,14.4,7.8,65.0,EAST,14.5,16.1,1019.44,0.0,0.0,0,0,,
2025-05-01,04:45,14.5,7.8,64.0,EAST,4.8,14.5,1019.34,0.0,0.0,0,0,,
2025-05-01,05:00,14.7,7.2,62.0,EAST,12.9,16.1,1019.51,0.0,0.0,0,0,,
2025-05-01,05:15,14.3,7.2,63.0,NORTH,0.0,11.3,1019.64,0.0,0.0,0,0,,
2025-05-01,05:30,14.2,7.2,63.0,SE,4.8,6.4,1019.61,0.0,0.0,0,0,,
2025-05-01,05:45,14.2,7.2,63.0,ESE,6.4,12.9,1019.84,0.0,0.0,0,0,,
2025-05-01,06:00,14.5,7.2,61.0,SE,8.0,12.9,1019.98,0.0,0.0,0,0,,
2025-05-01,06:15,14.9,7.2,60.0,ESE,12.9,16.1,1019.98,0.0,0.0,0,0,,
2025-05-01,06:30,15.2,6.7,58.0,SE,8.0,14.5,1020.35,0.0,0.0,0,0,,
2025-05-01,06:45,15.3,7.2,58.0,SE,11.3,17.7,1020.35,0.0,0.0,0,12,,
2025-05-01,07:00,15.3,7.8,62.0,SE,11.3,17.7,1020.76,0.0,0.0,0,46,,
2025-05-01,07:15,15.3,8.9,65.0,SE,8.0,14.5,1020.76,0.0,0.0,0,86,,
2025-05-01,07:30,15.9,8.3,62.0,SE,8.0,14.5,1020.86,0.0,0.0,0,141,,
2025-05-01,07:45,16.6,8.9,62.0,ESE,4.8,11.3,1020.89,0.0,0.0,0,188,,
2025-05-01,08:00,17.2,8.9,60.0,ESE,3.2,9.7,1021.2,0.0,0.0,1,172,,
2025-05-01,08:15,17.4,10.0,62.0,ESE,3.2,11.3,1021.3,0.0,0.0,1,244,,
2025-05-01,08:30,17.4,10.0,61.0,SE,3.2,11.3,1021.37,0.0,0.0,1,281,,
2025-05-01,08:45,17.7,10.0,61.0,EAST,3.2,12.9,1021.47,0.0,0.0,1,292,,
2025-05-01,09:00,17.8,10.0,62.0,EAST,3.2,12.9,1021.44,0.0,0.0,2,359,,
2025-05-01,09:15,18.0,10.6,61.0,ENE,4.8,14.5,1021.4,0.0,0.0,2,436,,
2025-05-01,09:30,18.4,10.0,59.0,ESE,9.7,16.1,1021.2,0.0,0.0,2,439,,
2025-05-01,09:45,18.3,10.0,59.0,ENE,8.0,16.1,1021.33,0.0,0.0,3,578,,
2025-05-01,10:00,19.1,10.0,56.0,ESE,3.2,16.1,1021.2,0.0,0.0,3,652,,
2025-05-01,10:15,19.7,10.0,54.0,SE,17.7,17.7,1021.2,0.0,0.0,4,693,,
2025-05-01,10:30,19.9,10.6,56.0,SE,14.5,19.3,1021.06,0.0,0.0,4,733,,
2025-05-01,10:45,20.1,10.0,54.0,ESE,9.7,19.3,1021.3,0.0,0.0,4,772,,
2025-05-01,11:00,20.7,10.6,52.0,ESE,1.6,17.7,1021.4,0.0,0.0,5,809,,
2025-05-01,11:15,21.0,10.0,50.0,SE,12.9,17.7,1021.2,0.0,0.0,5,837,,
2025-05-01,11:30,21.2,10.0,50.0,ESE,14.5,20.9,1021,0.0,0.0,6,868,,
2025-05-01,11:45,21.6,10.6,49.0,EAST,11.3,17.7,1020.83,0.0,0.0,6,891,,
2025-05-01,12:00,22.1,10.0,47.0,SE,6.4,27.4,1020.76,0.0,0.0,6,912,,
2025-05-01,12:15,22.7,10.0,45.0,ESE,17.7,20.9,1020.73,0.0,0.0,7,930,,
2025-05-01,12:30,22.7,10.6,46.0,SE,6.4,20.9,1020.59,0.0,0.0,7,942,,
2025-05-01,12:45,23.0,11.1,47.0,SSE,8.0,17.7,1020.79,0.0,0.0,7,946,,
2025-05-01,13:00,23.2,10.0,43.0,ESE,17.7,19.3,1020.76,0.0,0.0,7,954,,
2025-05-01,13:15,23.5,9.4,40.0,ESE,14.5,24.1,1020.62,0.0,0.0,7,958,,
2025-05-01,13:30,23.4,8.9,40.0,SE,11.3,25.7,1020.35,0.0,0.0,7,958,,
2025-05-01,13:45,23.4,12.2,50.0,SSE,16.1,27.4,1020.49,0.0,0.0,7,937,,
2025-05-01,14:00,23.3,12.2,51.0,SE,11.3,27.4,1020.45,0.0,0.0,7,923,,
2025-05-01,14:15,22.9,11.7,49.0,SSE,14.5,25.7,1020.59,0.0,0.0,7,918,,
2025-05-01,14:30,22.8,11.7,49.0,SSE,16.1,29.0,1020.66,0.0,0.0,6,902,,
2025-05-01,14:45,22.9,10.6,47.0,SSE,14.5,27.4,1020.52,0.0,0.0,6,881,,
2025-05-01,15:00,23.1,11.1,48.0,SE,17.7,27.4,1020.52,0.0,0.0,6,856,,
2025-05-01,15:15,22.8,11.1,47.0,ESE,19.3,24.1,1020.42,0.0,0.0,5,833,,
2025-05-01,15:30,22.9,11.1,47.0,SE,8.0,25.7,1020.45,0.0,0.0,5,803,,
2025-05-01,15:45,23.0,10.6,46.0,SSE,19.3,24.1,1020.35,0.0,0.0,5,770,,
2025-05-01,16:00,22.8,10.0,44.0,SSE,11.3,27.4,1020.22,0.0,0.0,4,738,,
2025-05-01,16:15,22.8,10.0,44.0,SE,8.0,27.4,1020.08,0.0,0.0,4,701,,
2025-05-01,16:30,23.1,10.6,45.0,SSE,9.7,22.5,1019.88,0.0,0.0,3,661,,
2025-05-01,16:45,22.7,9.4,43.0,SE,16.1,24.1,1020.01,0.0,0.0,3,615,,
2025-05-01,17:00,23.0,9.4,42.0,ESE,11.3,25.7,1019.84,0.0,0.0,3,571,,
2025-05-01,17:15,22.7,8.9,42.0,SSE,9.7,29.0,1019.81,0.0,0.0,2,520,,
2025-05-01,17:30,22.4,8.3,41.0,SE,14.5,29.0,1019.84,0.0,0.0,2,466,,
2025-05-01,17:45,22.2,7.8,40.0,SSE,20.9,27.4,1019.78,0.0,0.0,2,411,,
2025-05-01,18:00,21.7,7.8,41.0,SSE,12.9,27.4,1019.81,0.0,0.0,1,355,,
2025-05-01,18:15,21.4,7.8,42.0,SE,17.7,25.7,1019.81,0.0,0.0,1,304,,
2025-05-01,18:30,21.2,8.3,44.0,SSE,14.5,25.7,1019.64,0.0,0.0,1,250,,
2025-05-01,18:45,20.9,8.3,45.0,SE,19.3,27.4,1019.54,0.0,0.0,0,197,,
2025-05-01,19:00,20.6,8.3,46.0,SSE,14.5,24.1,1019.68,0.0,0.0,0,139,,
2025-05-01,19:15,20.3,8.9,47.0,SE,8.0,22.5,1019.81,0.0,0.0,0,90,,
2025-05-01,19:30,19.9,8.9,49.0,SSE,11.3,22.5,1019.81,0.0,0.0,0,49,,
2025-05-01,19:45,19.4,8.9,51.0,SE,17.7,20.9,1019.74,0.0,0.0,0,19,,
2025-05-01,20:00,19.1,8.9,52.0,SE,11.3,20.9,1019.91,0.0,0.0,0,12,,
2025-05-01,20:15,18.4,8.9,54.0,SE,12.9,17.7,1020.01,0.0,0.0,0,0,,
2025-05-01,20:30,18.1,8.3,53.0,SE,17.7,19.3,1019.88,0.0,0.0,0,0,,
2025-05-01,20:45,18.0,7.8,51.0,SE,12.9,20.9,1020.01,0.0,0.0,0,0,,
2025-05-01,21:00,17.8,7.8,52.0,SE,16.1,17.7,1020.18,0.0,0.0,0,0,,
2025-05-01,21:15,17.7,8.3,54.0,ESE,16.1,22.5,1020.29,0.0,0.0,0,0,,
2025-05-01,21:30,17.4,8.3,57.0,SE,12.9,17.7,1020.35,0.0,0.0,0,0,,
2025-05-01,21:45,17.2,8.9,58.0,SE,16.1,20.9,1020.45,0.0,0.0,0,0,,
2025-05-01,22:00,17.1,8.9,59.0,ESE,11.3,17.7,1020.62,0.0,0.0,0,0,,
2025-05-01,22:15,17.2,7.2,53.0,SE,12.9,19.3,1020.66,0.0,0.0,0,0,,
2025-05-01,22:30,17.3,7.2,52.0,SE,6.4,12.9,1020.93,0.0,0.0,0,0,,
2025-05-01,22:45,17.3,7.2,51.0,ESE,9.7,14.5,1021.06,0.0,0.0,0,0,,
2025-05-01,23:00,17.4,7.8,53.0,SE,11.3,14.5,1021.06,0.0,0.0,0,0,,
2025-05-01,23:15,17.1,7.8,55.0,SE,8.0,14.5,1021,0.0,0.0,0,0,,
2025-05-01,23:30,17.2,7.8,55.0,ESE,11.3,16.1,1021.03,0.0,0.0,0,0,,
2025-05-01,23:45,17.2,8.3,56.0,SE,12.9,17.7,1021.1,0.0,0.0,0,0,,
2025-05-02,00:00,16.8,8.9,60.0,SE,12.9,19.3,1021,0.0,0.0,0,0,,
2025-05-02,00:15,17.0,7.8,55.0,SE,14.5,19.3,1021.1,0.0,0.0,0,0,,
2025-05-02,00:30,16.9,7.2,54.0,SE,8.0,17.7,1021.03,0.0,0.0,0,0,,
2025-05-02,00:45,16.7,8.3,58.0,SE,4.8,12.9,1020.96,0.0,0.0,0,0,,
2025-05-02,01:00,16.1,8.3,61.0,ESE,6.4,12.9,1020.69,0.0,0.0,0,0,,
2025-05-02,01:15,15.6,8.3,63.0,ESE,3.2,6.4,1020.73,0.0,0.0,0,0,,
2025-05-02,01:30,15.9,7.2,57.0,SE,6.4,12.9,1020.76,0.0,0.0,0,0,,
2025-05-02,01:45,15.9,7.2,57.0,SE,8.0,12.9,1020.66,0.0,0.0,0,0,,
2025-05-02,02:00,15.9,7.8,60.0,SE,11.3,14.5,1020.73,0.0,0.0,0,0,,
2025-05-02,02:15,15.8,8.3,61.0,ESE,6.4,12.9,1020.59,0.0,0.0,0,0,,
2025-05-02,02:30,15.7,7.8,60.0,ESE,8.0,11.3,1020.56,0.0,0.0,0,0,,
2025-05-02,02:45,15.2,7.2,60.0,ESE,6.4,9.7,1020.29,0.0,0.0,0,0,,
2025-05-02,03:00,14.8,7.2,60.0,ESE,9.7,11.3,1020.08,0.0,0.0,0,0,,
