date,time,temp_c,dewpoint_c,rh_pct,wind_dir_txt,wind_kmh,gust_kmh,wind_dir_deg,press_hpa,rain_rate_mmph,rain_acc_mm,uv,solar_wm2,key,value
2026-07-27,00:00,22.9,20,85,N,14.5,27.4,360,1016.09,0,0,0,0,,
2026-07-27,00:15,22.8,20,86,N,6.4,25.7,360,1016.02,0,0,0,0,,
2026-07-27,00:30,22.7,20,86,N,9.7,24.1,360,1015.88,0,0,0,0,,
2026-07-27,00:45,22.4,20,86,N,22.5,22.5,360,1015.82,0,0,0,0,,
2026-07-27,01:00,22.3,20,87,N,14.5,27.4,360,1015.58,0,0,0,0,,
2026-07-27,01:15,22.3,20,87,N,16.1,32.2,360,1015.65,0,0,0,0,,
2026-07-27,01:30,22.2,20,87,N,19.3,30.6,360,1015.92,0,0,0,0,,
2026-07-27,01:45,22.2,20,87,N,16.1,29,360,1015.88,0,0,0,0,,
2026-07-27,02:00,22.2,19.4,87,NW,14.5,25.7,310,1015.95,0,0,0,0,,
2026-07-27,02:15,22.1,19.4,87,N,3.2,24.1,360,1016.05,0,0,0,0,,
2026-07-27,02:30,21.9,19.4,87,NNW,1.6,14.5,345,1016.53,0,0,0,0,,
2026-07-27,02:45,21.8,19.4,87,N,16.1,19.3,360,1016.32,0,0,0,0,,
2026-07-27,03:00,21.8,19.4,87,N,1.6,14.5,360,1015.98,0,0,0,0,,
2026-07-27,03:15,21.8,19.4,87,NNW,14.5,19.3,336,1016.05,0,0,0,0,,
2026-07-27,03:30,21.7,19.4,87,N,14.5,19.3,360,1016.12,0,0,0,0,,
2026-07-27,03:45,21.7,18.9,87,NW,6.4,17.7,309,1015.95,0,0,0,0,,
2026-07-27,04:00,21.7,18.9,86,N,4.8,11.3,360,1015.98,0,0,0,0,,
2026-07-27,04:15,21.6,18.9,86,N,12.9,17.7,360,1015.82,0,0,0,0,,
2026-07-27,04:30,21.6,18.9,86,N,6.4,17.7,360,1016.05,0,0,0,0,,
2026-07-27,04:45,21.7,18.9,85,N,14.5,24.1,360,1015.65,0,0,0,0,,
2026-07-27,05:00,21.8,18.9,84,N,14.5,29,360,1015.68,0,0,0,0,,
2026-07-27,05:15,21.8,18.9,84,NNW,6.4,27.4,343,1015.61,0,0,0,0,,
2026-07-27,05:30,21.3,18.3,84,N,3.2,9.7,360,1015.85,0,0,0,0,,
2026-07-27,05:45,21.1,18.3,85,NNW,3.2,9.7,346,1015.65,0,0,0,0,,
2026-07-27,06:00,20.8,18.3,86,N,4.8,8,360,1015.68,0,0,0,0,,
2026-07-27,06:15,20.6,18.3,87,N,0,6.4,0,1015.54,0,0,0,0,,
2026-07-27,06:30,20.4,18.3,88,N,4.8,8,360,1015.65,0,0,0,9,,
2026-07-27,06:45,20.3,18.3,88,N,1.6,8,360,1015.65,0,0,0,19,,
2026-07-27,07:00,20.2,18.3,88,N,0,12.9,0,1015.65,0,0,0,44,,
2026-07-27,07:15,20.5,18.3,89,N,1.6,6.4,360,1015.82,0,0,0,74,,
2026-07-27,07:30,21.1,18.9,88,N,19.3,20.9,360,1015.61,0,0,0,100,,
2026-07-27,07:45,21.8,19.4,86,WNW,4.8,27.4,299,1015.68,0,0,0,132,,
2026-07-27,08:00,22.2,19.4,84,N,6.4,16.1,360,1016.02,0,0,0,174,,
2026-07-27,08:15,22.4,19.4,83,N,4.8,12.9,9,1016.12,0,0,0,207,,
2026-07-27,08:30,22.9,19.4,82,NNW,3.2,14.5,344,1016.22,0,0,0.7,220,,
2026-07-27,08:45,23.8,20,80,N,20.9,19.3,360,1016.56,0,0,0.9,292,,
2026-07-27,09:00,23.9,20,79,N,19.3,27.4,360,1016.59,0,0,1.1,329,,
2026-07-27,09:15,24.3,20,78,N,14.5,22.5,360,1016.59,0,0,1.3,355,,
2026-07-27,09:30,24.6,20,76,WNW,17.7,27.4,293,1016.56,0,0,1.6,415,,
2026-07-27,09:45,25,20,75,N,20.9,25.7,360,1016.86,0,0,1.9,517,,
2026-07-27,10:00,25.1,20,73,N,9.7,30.6,360,1016.9,0,0,2,550,,
2026-07-27,10:15,25.3,20,72,W,14.5,30.6,259,1017.17,0,0,2.6,610,,
2026-07-27,10:30,25.7,20,71,N,16.1,29,360,1017,0,0,2.9,640,,
